iter	Accuracy	Logloss
0	0.9804442232	0.6043338486
1	0.9804165629	0.5334293392
2	0.9804165629	0.4747493514
3	0.9804165629	0.423104938
4	0.9804165629	0.3804579223
5	0.9804165629	0.3420207341
6	0.9804165629	0.3102516139
7	0.9804165629	0.2812446527
8	0.9804165629	0.2557082923
9	0.9804165629	0.2340044812
10	0.9804165629	0.214110737
11	0.9804165629	0.1966170579
12	0.9804165629	0.1827345406
13	0.9804165629	0.168445869
14	0.9804165629	0.155879795
15	0.9804165629	0.1444358663
16	0.9804165629	0.134543303
17	0.9804165629	0.1256802412
18	0.9804165629	0.1175313169
19	0.9804165629	0.1101226632
20	0.9804165629	0.1037731145
21	0.9804165629	0.09874311209
22	0.9804165629	0.09335276611
23	0.9804165629	0.08840938302
24	0.9804165629	0.08415456768
25	0.9803889027	0.08001266826
26	0.9803889027	0.07734712575
27	0.9803612425	0.07392961224
28	0.9803612425	0.0712421812
29	0.9804165629	0.0695486393
30	0.9803889027	0.06716798823
31	0.9803335823	0.06467077768
32	0.9803335823	0.06256085097
33	0.9803335823	0.06057715897
34	0.9803612425	0.05881075818
35	0.9803335823	0.05717749911
36	0.9803335823	0.05575048594
37	0.9803059221	0.05462161316
38	0.9803059221	0.05398353019
39	0.9802506016	0.05279310785
40	0.9802782618	0.0516879158
41	0.9802782618	0.05129341534
42	0.9802782618	0.05031392712
43	0.9802782618	0.04948064989
44	0.9802506016	0.0487627166
45	0.9802506016	0.04841253158
46	0.9802229414	0.04771343319
47	0.9802229414	0.04704626748
48	0.9801952812	0.04646648715
49	0.9802506016	0.04631713887
50	0.9801952812	0.04580098047
51	0.9801952812	0.04536023203
52	0.9801952812	0.04519958014
53	0.9801952812	0.04485452221
54	0.9803059221	0.04457628937
55	0.9802782618	0.04427451562
56	0.9803059221	0.04419573652
57	0.9802229414	0.04383146064
58	0.9802229414	0.04345072663
59	0.9802782618	0.04323451218
60	0.9802782618	0.04300732859
61	0.9802506016	0.04276715999
62	0.9802782618	0.0426333201
63	0.9802782618	0.04242545652
64	0.9802506016	0.04217846328
65	0.9803059221	0.04194580544
66	0.9803335823	0.04180802081
67	0.9803059221	0.04161965317
68	0.9803335823	0.04145880348
69	0.9803335823	0.04130074648
70	0.9804442232	0.04123787089
71	0.9804165629	0.04107009652
72	0.9804718834	0.04099537044
73	0.9804995436	0.04087857298
74	0.9804995436	0.0407767728
75	0.9804718834	0.04065206297
76	0.9804995436	0.04057087463
77	0.9805272038	0.04045136509
78	0.9804442232	0.04031813453
79	0.9804165629	0.04026211455
80	0.9804442232	0.04020367013
81	0.9804718834	0.04015106237
82	0.9804718834	0.04011057323
83	0.9804995436	0.04002219572
84	0.9804995436	0.03995164304
85	0.9805272038	0.03989940362
86	0.9806101845	0.03987185945
87	0.9806101845	0.03981660402
88	0.9806101845	0.0397503004
89	0.9806378447	0.03970844427
90	0.9806378447	0.03963501208
91	0.9806101845	0.03954526531
92	0.9805825243	0.03952501902
93	0.9805825243	0.03947052948
94	0.9805825243	0.03942840912
95	0.9806378447	0.03936918474
96	0.9805825243	0.03932514871
97	0.9806378447	0.03929493864
98	0.9806931652	0.03923702958
99	0.9806655049	0.03918957648
100	0.9806655049	0.03913707273
101	0.9806931652	0.03907700569
102	0.9806655049	0.03903499862
103	0.9806655049	0.03903462174
104	0.9806655049	0.03901371552
105	0.9807208254	0.03897069569
106	0.9806931652	0.03895799246
107	0.9806931652	0.03891095305
108	0.9806655049	0.03888467532
109	0.9806655049	0.03888439669
110	0.9806931652	0.03881326588
111	0.9806931652	0.03881313551
112	0.9806931652	0.03876508947
113	0.9806931652	0.03876343757
114	0.9807208254	0.0387104126
115	0.9807208254	0.03871025872
116	0.9807208254	0.03869399345
117	0.9807208254	0.0386908573
118	0.9807208254	0.03865041561
119	0.9807208254	0.03859094474
120	0.9807208254	0.03857955708
121	0.9807208254	0.03849996548
122	0.9807484856	0.03845460787
123	0.9807484856	0.0384544799
124	0.9807484856	0.03842462398
125	0.9806931652	0.03839523416
126	0.9807761458	0.03835397057
127	0.9807761458	0.03835389784
128	0.9807761458	0.03835382372
129	0.9808591265	0.03829125482
130	0.9808314663	0.03825900823
131	0.9808314663	0.03823668766
132	0.9808591265	0.03822152078
133	0.9808867867	0.03820350292
134	0.9808867867	0.03820344027
135	0.9808867867	0.03819792046
136	0.9808867867	0.03816539152
137	0.9809697674	0.03813515753
138	0.9809697674	0.03812290465
139	0.9810250878	0.03809494794
140	0.9809697674	0.03807392609
141	0.9809697674	0.03807387408
142	0.9810250878	0.03805139871
143	0.9810250878	0.03804390951
144	0.981052748	0.0380213897
145	0.981052748	0.03796501926
146	0.9810804083	0.03791331747
147	0.9810804083	0.03788340513
148	0.9811633889	0.03785012314
149	0.9811633889	0.0378027002
